content_id,title,content_type,genre_id,studio_id,release_year,language,duration_minutes,age_rating,imdb_rating,production_budget,licensing_cost,available_regions,is_original,created_at,updated_at,production_overhead,distribution_cost,technology_cost,localization_cost,contract_administration_cost,contingency_cost,total_content_cost,licensing_cost_ratio,production_cost_ratio,localization_cost_per_region,total_revenue,total_watch_hours,total_views,likes,dislikes,average_completion_rate,average_rewatch_rate,conversions,marketing_spend,attributed_revenue,genre_name,studio_name,total_investment,contribution_profit,content_roi,revenue_per_watch_hour,positive_engagement_rate,portfolio_revenue_percentile,portfolio_roi_percentile,decision
19,Baahubali 2: The Conclusion,Movie,10,29,2017,Hindi,167,PG-13,8.2,446542.71,75733.63,13,False,2026-09-07 16:36:58.339820,2026-09-07 16:36:58.339822,44151.93,16194.96,7012.45,16979.95,1481.72,18492.26,626589.61,0.1209,0.7831,1306.15,12099.61,38.62,11,3,2,55.19,9.09,0.0,0.0,0.0,Fantasy,DVV Entertainment,626589.61,-614490.0,-0.9807,313.3,0.6,0.0517,0.0046,COST_REVIEW
20,Dangal,Movie,4,2,2016,Hindi,161,PG,8.3,227013.3,42579.5,12,False,2026-09-07 16:36:58.339830,2026-09-07 16:36:58.339832,19570.96,5924.64,1901.18,7172.18,764.49,15597.6,320523.85,0.1328,0.7693,597.68,60719.90000000001,63.53,19,5,1,70.3,36.84,0.0,0.0,0.0,Biography,Universal Pictures,320523.85,-259803.95,-0.8106,955.77,0.8333,0.6901,0.0303,COST_REVIEW
21,3 Idiots,Movie,5,2,2009,Hindi,170,PG-13,8.4,391194.86,75385.76,15,False,2026-09-07 16:36:58.339840,2026-09-07 16:36:58.339842,45013.53,10746.22,8024.49,10374.28,760.02,11398.63,552897.79,0.1363,0.7889,691.62,16288.439999999999,54.25,20,0,3,46.78,10.0,0.0,0.0,0.0,Comedy,Universal Pictures,552897.79,-536609.35,-0.9705,300.25,0.0,0.099,0.0067,COST_REVIEW
22,Tumbbad,Movie,10,2,2018,Hindi,104,TV-MA,8.2,141842.24,29480.36,14,False,2026-09-07 16:36:58.339849,2026-09-07 16:36:58.339851,10291.29,5759.19,1463.7,8227.19,883.78,4278.12,202225.87,0.1458,0.7523,587.66,105279.9,101.27000000000001,25,7,1,74.99,40.0,0.0,0.0,0.0,Fantasy,Universal Pictures,202225.87,-96945.97,-0.4794,1039.6,0.875,0.9291,0.1721,COST_REVIEW
23,Jawan,Movie,1,2,2023,Hindi,169,PG-13,7.0,336294.76,45530.43,15,False,2026-09-07 16:36:58.339859,2026-09-07 16:36:58.339861,29019.89,11518.79,5818.06,13864.42,571.72,17049.09,459667.16,0.0991,0.7947,924.29,82116.59,111.50999999999999,24,8,0,80.93,37.5,0.0,0.0,0.0,Action,Universal Pictures,459667.16,-377550.57,-0.8214,736.41,1.0,0.8445,0.0279,COST_REVIEW
24,Andhadhun,Movie,18,2,2018,Hindi,139,TV-MA,8.2,207410.45,23754.27,14,False,2026-09-07 16:36:58.339869,2026-09-07 16:36:58.339871,19283.48,7962.96,4767.95,7160.09,331.12,6874.03,277544.35,0.0856,0.8168,511.44,3736.5099999999998,52.33,16,5,1,60.3,25.0,0.0,0.0,0.0,Thriller,Universal Pictures,277544.35,-273807.84,-0.9865,71.4,0.8333,0.0019,0.003,COST_REVIEW
25,Stranger Things,Series,16,4,2016,English,55,PG-13,8.7,391141.725,0.0,15,True,2026-09-07 16:36:58.339879,2026-09-07 16:36:58.339880,39523.42,8034.5,2257.56,15015.23,0.0,23451.03,479423.46,0.0,0.8983,1001.02,40486.07,73.66,18,5,1,66.94,27.78,0.0,0.0,0.0,Sci-Fi,Netflix Studios,479423.46,-438937.39,-0.9156,549.63,0.8333,0.4523,0.0119,COST_REVIEW
26,Succession,Series,8,7,2018,English,60,TV-MA,8.9,240469.8125,0.0,13,True,2026-09-07 16:36:58.339888,2026-09-07 16:36:58.339890,31421.19,10230.59,3066.15,6529.35,0.0,5613.59,297330.68,0.0,0.9144,502.26,19384.34,66.57,20,4,0,81.07,40.0,0.0,0.0,0.0,Drama,HBO Entertainment,297330.68,-277946.34,-0.9348,291.19,1.0,0.1386,0.01,COST_REVIEW
27,The Bear,Series,8,2,2022,English,35,TV-MA,8.6,282860.23,52558.12,12,False,2026-09-07 16:36:58.339899,2026-09-07 16:36:58.339901,22054.79,7414.81,2177.56,7492.56,1668.07,16659.96,392886.1,0.1338,0.7761,624.38,25861.81,43.92,17,2,2,48.72,17.65,0.0,0.0,0.0,Drama,Universal Pictures,392886.1,-367024.29,-0.9342,588.84,0.5,0.2328,0.0102,COST_REVIEW
28,Severance,Series,16,22,2022,English,55,TV-MA,8.7,327057.19,62432.31,15,False,2026-09-07 16:36:58.339909,2026-09-07 16:36:58.339911,34760.0,12001.41,7578.95,14195.78,1797.37,18999.3,478822.31,0.1304,0.7556,946.39,11888.11,40.760000000000005,12,1,0,50.56,33.33,0.0,0.0,0.0,Sci-Fi,Apple Studios,478822.31,-466934.2,-0.9752,291.66,1.0,0.0493,0.0056,COST_REVIEW
29,Squid Game,Series,18,4,2021,Korean,55,TV-MA,8.0,176205.17500000002,0.0,15,True,2026-09-07 16:36:58.339919,2026-09-07 16:36:58.339921,19967.1,3350.33,2149.98,9554.08,0.0,8682.35,219909.02,0.0,0.8921,636.94,93418.54,142.49,23,9,0,80.31,34.78,0.0,0.0,0.0,Thriller,Netflix Studios,219909.02,-126490.48,-0.5752,655.61,1.0,0.8942,0.1226,COST_REVIEW
30,Breaking Bad,Series,6,6,2008,English,49,TV-MA,9.5,448720.06,69137.0,12,False,2026-09-07 16:36:58.339929,2026-09-07 16:36:58.339931,28799.09,11778.77,4158.21,20644.27,2310.85,24250.73,609798.98,0.1134,0.7831,1720.36,16464.71,75.53,19,5,1,53.71,15.79,0.0,0.0,0.0,Crime,Sony Pictures Entertainment,609798.98,-593334.27,-0.973,217.99,0.8333,0.1017,0.0061,COST_REVIEW
31,The Last of Us,Series,8,7,2023,English,60,TV-MA,8.8,357838.2,62778.94,14,False,2026-09-07 16:36:58.339939,2026-09-07 16:36:58.339941,41036.54,13494.21,6630.57,17038.36,1753.35,9744.13,510314.3,0.123,0.7816,1217.03,44101.009999999995,105.94,21,7,0,81.11,47.62,0.0,0.0,0.0,Drama,HBO Entertainment,510314.3,-466213.29,-0.9136,416.28,1.0,0.501,0.0121,COST_REVIEW
32,Chernobyl,Series,8,7,2019,English,65,TV-MA,9.4,331517.39,31698.8,15,False,2026-09-07 16:36:58.339948,2026-09-07 16:36:58.339950,24978.9,8154.4,5259.14,14647.66,724.5,11997.93,428978.72,0.0739,0.831,976.51,24372.800000000003,26.11,15,2,2,48.48,20.0,0.0,0.0,0.0,Drama,HBO Entertainment,428978.72,-404605.92,-0.9432,933.47,0.5,0.2096,0.0094,COST_REVIEW
33,Arcane,Series,3,4,2021,English,42,PG-13,9.0,337161.025,0.0,14,True,2026-09-07 16:36:58.339958,2026-09-07 16:36:58.339959,22203.62,15445.66,7194.59,9757.01,0.0,8164.52,399926.42,0.0,0.8986,696.93,40247.61,82.67,24,9,2,79.07,25.0,0.0,0.0,0.0,Animation,Netflix Studios,399926.42,-359678.81,-0.8994,486.85,0.8182,0.4489,0.0138,COST_REVIEW
34,Attack on Titan,Series,3,30,2013,Japanese,24,TV-MA,9.1,371447.53,56116.6,12,False,2026-09-07 16:36:58.339967,2026-09-07 16:36:58.339969,54008.36,14168.12,7451.74,9400.63,1701.98,19798.29,534093.25,0.1051,0.7966,783.39,9977.75,63.83,20,6,0,58.75,30.0,0.0,0.0,0.0,Animation,MAPPA Studio,534093.25,-524115.5,-0.9813,156.32,1.0,0.0323,0.0044,COST_REVIEW
35,Shōgun,Series,8,2,2024,Japanese,60,TV-MA,8.7,218486.78,37023.22,13,False,2026-09-07 16:36:58.339977,2026-09-07 16:36:58.339979,32097.21,9932.35,5351.48,6585.24,1237.55,7407.19,318121.02,0.1164,0.7877,506.56,69377.98999999999,67.14,23,2,4,47.39,13.04,0.0,0.0,0.0,Drama,Universal Pictures,318121.02,-248743.03,-0.7819,1033.33,0.3333,0.7639,0.0382,COST_REVIEW
36,The Boys,Series,1,23,2019,English,60,TV-MA,8.7,243391.57,24976.08,12,False,2026-09-07 16:36:58.339987,2026-09-07 16:36:58.339989,32311.63,7019.09,1657.65,9578.95,300.77,11271.21,330506.95,0.0756,0.8342,798.25,93517.25,112.59,24,5,1,62.09,41.67,0.0,0.0,0.0,Action,Amazon MGM Studios,330506.95,-236989.7,-0.717,830.6,0.8333,0.8946,0.0609,COST_REVIEW
37,Ted Lasso,Series,5,22,2020,English,40,TV-MA,8.8,226971.5,18776.61,14,False,2026-09-07 16:36:58.339996,2026-09-07 16:36:58.339999,19840.77,3674.55,1499.25,9153.13,631.22,14642.13,295189.16,0.0636,0.8361,653.79,25053.58,79.86,22,4,1,55.69,13.64,0.0,0.0,0.0,Comedy,Apple Studios,295189.16,-270135.58,-0.9151,313.72,0.8,0.2198,0.012,COST_REVIEW
38,Dark,Series,16,4,2017,German,53,TV-MA,8.7,276849.575,0.0,12,True,2026-09-07 16:36:58.340006,2026-09-07 16:36:58.340008,19044.62,9735.39,6408.3,11063.29,0.0,6501.12,329602.3,0.0,0.8977,921.94,75347.82,73.46000000000001,23,6,2,64.9,34.78,0.0,0.0,0.0,Sci-Fi,Netflix Studios,329602.3,-254254.48,-0.7714,1025.7,0.75,0.806,0.0409,COST_REVIEW
39,Money Heist,Series,6,4,2017,Spanish,50,TV-MA,8.2,512178.9625,0.0,12,True,2026-09-07 16:36:58.340015,2026-09-07 16:36:58.340017,62271.22,13763.16,12351.01,14020.51,0.0,29226.41,643811.27,0.0,0.8923,1168.38,32292.17,95.68,21,6,2,54.3,28.57,0.0,0.0,0.0,Crime,Netflix Studios,643811.27,-611519.1,-0.9498,337.5,0.75,0.33,0.0087,COST_REVIEW
40,Black Mirror,Series,16,4,2011,English,60,TV-MA,8.7,451911.8875,0.0,12,True,2026-09-07 16:36:58.340024,2026-09-07 16:36:58.340026,45016.63,13867.64,5934.82,9168.68,0.0,17298.1,543197.76,0.0,0.9148,764.06,46644.799999999996,76.84,18,6,1,65.24,16.67,0.0,0.0,0.0,Sci-Fi,Netflix Studios,543197.76,-496552.96,-0.9141,607.04,0.8571,0.5349,0.0121,COST_REVIEW
41,The Mandalorian,Series,1,18,2019,English,40,PG-13,8.6,295793.04,28871.31,15,False,2026-09-07 16:36:58.340033,2026-09-07 16:36:58.340035,20996.41,11488.26,4175.83,8148.85,634.3,13752.53,383860.53,0.0752,0.8253,543.26,32408.68,92.52,19,10,1,80.48,57.89,0.0,0.0,0.0,Action,Lucasfilm,383860.53,-351451.85,-0.9156,350.29,0.9091,0.3317,0.0119,COST_REVIEW
42,The Crown,Series,8,4,2016,English,58,TV-MA,8.6,218114.875,0.0,15,True,2026-09-07 16:36:58.340042,2026-09-07 16:36:58.340044,22807.38,8620.61,2698.95,5905.89,0.0,11368.28,269515.99,0.0,0.8939,393.73,21946.23,49.14,18,2,2,57.99,22.22,0.0,0.0,0.0,Drama,Netflix Studios,269515.99,-247569.76,-0.9186,446.61,0.5,0.1748,0.0116,COST_REVIEW
43,Peaky Blinders,Series,6,26,2013,English,58,TV-MA,8.8,426541.45,79224.58,13,False,2026-09-07 16:36:58.340056,2026-09-07 16:36:58.340058,26912.62,6809.51,8767.02,19021.13,1861.02,25688.71,594826.04,0.1332,0.7623,1463.16,57644.61,119.09,23,7,0,73.73,39.13,0.0,0.0,0.0,Crime,BBC Film,594826.04,-537181.43,-0.9031,484.04,1.0,0.659,0.0134,COST_REVIEW
44,House of the Dragon,Series,10,7,2022,English,60,TV-MA,8.4,222866.38,48879.26,14,False,2026-09-07 16:36:58.340066,2026-09-07 16:36:58.340069,31611.11,9343.81,4549.98,5387.5,1417.93,5778.07,329834.04,0.1482,0.7715,384.82,44544.520000000004,44.629999999999995,21,5,2,58.59,23.81,0.0,0.0,0.0,Fantasy,HBO Entertainment,329834.04,-285289.52,-0.8649,998.08,0.7143,0.5071,0.0186,COST_REVIEW
45,The Shawshank Redemption,Movie,8,1,1994,English,142,R,9.3,416872.65,59699.52,13,False,2026-09-07 16:36:58.340077,2026-09-07 16:36:58.340079,34721.41,13453.8,3922.1,18284.41,1583.04,20133.09,568670.02,0.105,0.7941,1406.49,15954.439999999999,51.05,17,3,5,52.92,29.41,0.0,0.0,0.0,Drama,Warner Bros. Pictures,568670.02,-552715.58,-0.9719,312.53,0.375,0.0946,0.0064,COST_REVIEW
46,The Godfather,Movie,6,5,1972,English,175,R,9.2,141128.55,11705.88,13,False,2026-09-07 16:36:58.340087,2026-09-07 16:36:58.340089,16882.79,4866.74,1789.21,5338.07,241.84,8936.64,190889.72,0.0613,0.8278,410.62,147851.91,159.57,23,9,1,75.23,39.13,0.0,0.0,0.0,Crime,Paramount Pictures,190889.72,-43037.81,-0.2255,926.56,0.9,0.9852,0.3118,COST_REVIEW
47,The Godfather Part II,Movie,6,5,1974,English,202,R,9.0,192671.74,17328.71,12,False,2026-09-07 16:36:58.340097,2026-09-07 16:36:58.340098,16965.52,4899.6,1781.97,8505.92,532.47,8255.08,250941.01,0.0691,0.8354,708.83,74198.04,60.89,21,5,2,49.51,0.0,0.0,0.0,0.0,Crime,Paramount Pictures,250941.01,-176742.97,-0.7043,1218.56,0.7143,0.7984,0.0658,COST_REVIEW
48,Fight Club,Movie,8,10,1999,English,139,R,8.8,142242.11,12004.92,14,False,2026-09-07 16:36:58.340106,2026-09-07 16:36:58.340108,15192.33,4228.74,843.85,5671.6,331.43,8732.02,189247.0,0.0634,0.8319,405.11,26023.22,66.56,22,4,3,56.45,50.0,0.0,0.0,0.0,Drama,20th Century Studios,189247.0,-163223.78,-0.8625,390.97,0.5714,0.2352,0.019,COST_REVIEW
49,Forrest Gump,Movie,8,5,1994,English,142,PG-13,8.8,289671.52,34467.09,15,False,2026-09-07 16:36:58.340117,2026-09-07 16:36:58.340119,31633.27,11547.21,1773.49,11935.85,416.6,9247.31,390692.34,0.0882,0.8224,795.72,75165.13,84.69,21,8,4,59.13,33.33,0.0,0.0,0.0,Drama,Paramount Pictures,390692.34,-315527.21,-0.8076,887.53,0.6667,0.8047,0.031,COST_REVIEW
50,The Lord of the Rings: The Return of the King,Movie,10,1,2003,English,201,PG-13,9.0,297947.2,54008.7,15,False,2026-09-07 16:36:58.340128,2026-09-07 16:36:58.340130,22833.75,12568.9,2364.65,8836.77,1824.57,16917.32,417301.86,0.1294,0.7687,589.12,13325.61,67.78999999999999,15,3,1,71.98,46.67,0.0,0.0,0.0,Fantasy,Warner Bros. Pictures,417301.86,-403976.25,-0.9681,196.57,0.75,0.0651,0.0069,COST_REVIEW
51,The Lord of the Rings: The Fellowship of the Ring,Movie,10,1,2001,English,178,PG-13,8.9,378924.41,73151.2,13,False,2026-09-07 16:36:58.340138,2026-09-07 16:36:58.340140,55801.4,10817.81,2121.08,15512.4,2350.8,19649.3,558328.4,0.131,0.7786,1193.26,37807.51,55.5,15,1,1,59.1,26.67,0.0,0.0,0.0,Fantasy,Warner Bros. Pictures,558328.4,-520520.89,-0.9323,681.22,0.5,0.4132,0.0103,COST_REVIEW
52,Goodfellas,Movie,4,1,1990,English,145,R,8.7,151987.17,21330.97,15,False,2026-09-07 16:36:58.340147,2026-09-07 16:36:58.340149,19722.15,5956.24,2046.28,8049.16,670.0,4377.47,214139.44,0.0996,0.8019,536.61,91021.85,136.04000000000002,17,5,0,77.86,47.06,0.0,0.0,0.0,Biography,Warner Bros. Pictures,214139.44,-123117.59,-0.5749,669.08,1.0,0.8847,0.1228,COST_REVIEW
53,Gladiator,Movie,1,2,2000,English,155,R,8.5,274118.14,49908.86,12,False,2026-09-07 16:36:58.340157,2026-09-07 16:36:58.340159,39625.12,6587.48,1721.57,10244.29,1166.72,8431.15,391803.33,0.1274,0.8008,853.69,44049.85,84.18,19,8,0,76.9,47.37,0.0,0.0,0.0,Action,Universal Pictures,391803.33,-347753.48,-0.8876,523.28,1.0,0.5004,0.0153,COST_REVIEW
54,Whiplash,Movie,8,6,2014,English,106,R,8.5,252865.02,32240.89,12,False,2026-09-07 16:36:58.340168,2026-09-07 16:36:58.340170,35536.25,11156.61,5549.94,8656.58,684.5,13687.5,360377.29,0.0895,0.8003,721.38,75281.21,74.83,19,4,1,44.77,21.05,0.0,0.0,0.0,Drama,Sony Pictures Entertainment,360377.29,-285096.08,-0.7911,1006.03,0.8,0.8056,0.0358,EXIT_OR_RENEGOTIATE
55,The Prestige,Movie,14,1,2006,English,130,PG-13,8.5,183224.72,28414.49,13,False,2026-09-07 16:36:58.340179,2026-09-07 16:36:58.340181,20852.99,6659.03,3525.54,6638.88,683.3,5231.7,255230.65,0.1113,0.7996,510.68,21631.08,60.67,13,5,0,70.62,38.46,0.0,0.0,0.0,Mystery,Warner Bros. Pictures,255230.65,-233599.57,-0.9152,356.54,1.0,0.1701,0.0119,COST_REVIEW
56,The Departed,Movie,6,1,2006,English,151,R,8.5,180551.05,26138.0,12,False,2026-09-07 16:36:58.340189,2026-09-07 16:36:58.340191,25813.15,7606.89,3732.51,9508.43,892.66,9411.97,263654.66,0.0991,0.7827,792.37,110164.84999999999,109.69,23,10,2,82.81,30.43,0.0,0.0,0.0,Crime,Warner Bros. Pictures,263654.66,-153489.81,-0.5822,1004.33,0.8333,0.9407,0.1194,COST_REVIEW
57,Joker,Movie,6,1,2019,English,122,R,8.4,386647.34,77265.81,12,False,2026-09-07 16:36:58.340198,2026-09-07 16:36:58.340200,26278.23,12256.88,6708.18,15452.01,2222.47,25756.43,552587.35,0.1398,0.7473,1287.67,31564.33,85.06,20,5,2,68.83,50.0,0.0,0.0,0.0,Crime,Warner Bros. Pictures,552587.35,-521023.02,-0.9429,371.08,0.7143,0.3189,0.0095,COST_REVIEW
58,Blade Runner 2049,Movie,16,1,2017,English,164,R,8.0,335207.82,52185.93,12,False,2026-09-07 16:36:58.340208,2026-09-07 16:36:58.340212,26025.02,7716.09,6126.78,8047.94,617.99,12557.33,448484.9,0.1164,0.8055,670.66,71034.39,53.87,11,1,1,59.78,36.36,0.0,0.0,0.0,Sci-Fi,Warner Bros. Pictures,448484.9,-377450.51,-0.8416,1318.63,0.5,0.7762,0.0236,COST_REVIEW
59,Mad Max: Fury Road,Movie,1,1,2015,English,120,R,8.1,425701.1,84636.79,13,False,2026-09-07 16:36:58.340221,2026-09-07 16:36:58.340224,27274.86,12780.86,3094.08,20403.06,2129.43,15070.72,591090.9,0.1432,0.7663,1569.47,47604.91,65.05,17,3,1,74.61,35.29,0.0,0.0,0.0,Action,Warner Bros. Pictures,591090.9,-543485.99,-0.9195,731.82,0.75,0.5472,0.0115,COST_REVIEW
60,Django Unchained,Movie,8,6,2012,English,165,R,8.5,280261.57,30807.65,15,False,2026-09-07 16:36:58.340232,2026-09-07 16:36:58.340234,25021.68,7945.97,1727.35,12202.87,421.3,12927.81,371316.2,0.083,0.8222,813.52,54310.22,139.12,34,6,3,56.55,23.53,0.0,0.0,0.0,Drama,Sony Pictures Entertainment,371316.2,-317005.98,-0.8537,390.38,0.6667,0.625,0.0209,COST_REVIEW
